"Sr.","Stock Name","Symbol","Change %","LTP"
135,"Engineers India Limited","ENGINERSIN",-2.18,273.1
136,"JNK India Ltd","JNKINDIA",-2.19,430.85
137,"Anand Rathi Wealth Ltd","ANANDRATHI",-2.19,2180.6
138,"Paras Defence and Space Technologies Ltd","PARAS",-2.26,1470
139,"Rategain Travel Technologies Ltd","RATEGAIN",-2.47,841.4
140,"Unimech Aerospace and Manufacturing Ltd","UNIMECH",-2.65,1586.4
141,"ACME Solar Holdings Ltd","ACMESOLAR",-2.67,401.6
142,"Rubicon Research Ltd","RUBICON",-2.69,1810.5
143,"Arfin India Ltd","ARFIN",-2.83,88.77
144,"Nuvama Wealth Management Ltd","NUVAMA",-3,1781.3
145,"Century Enka Limited","CENTENKA",-3.12,570.8
146,"Garware Hi Tech Films Ltd","GRWRHITECH",-3.2,6752.5
147,"Neuland Laboratories Limited","NEULANDLAB",-3.33,23195
148,"Divgi Torqtransfer Systems Ltd","DIVGIITTS",-3.34,1149.6
149,"Man Industries (india) Limited","MANINDS",-3.55,792.55
150,"Netweb Technologies India Ltd","NETWEB",-3.72,4898.5
151,"Edelweiss Financial Services Limited","EDELWEISS",-3.72,133.63
152,"Pearl Global Industries Limited","PGIL",-3.76,2277.9
153,"KRN Heat Exchanger and Refrigeration Ltd","KRN",-3.79,1597.3
154,"DEE Development Engineers Ltd","DEEDEV",-3.83,674.75
155,"Atlanta Electricals Ltd","ATLANTAELE",-3.83,1848.7
156,"MTAR Technologies Ltd","MTARTECH",-3.83,7501
157,"PTC Industries Ltd","PTCIL",-4,22780
158,"Bliss Gvs Pharma Limited","BLISSGVS",-4.08,692.85
159,"SG Mart Ltd","SGMART",-4.52,772.9
160,"Thangamayil Jewellery Limited","THANGAMAYL",-4.63,5118
161,"Cartrade Tech Ltd","CARTRADE",-4.71,3027.1
162,"Sudeep Pharma Ltd","SUDEEPPHRM",-4.98,1277.3
163,"Tribhovandas Bhimji Zaveri Limited","TBZ",-4.99,527.6
164,"Aeroflex Enterprises Ltd","AEROENTER",-6.35,142.95
165,"V-Marc India Ltd","VMARCIND","",""
166,"OBSC Perfection Ltd","OBSCP","",""
